channel_width,forward,backward,count,total_spawned,propensity
14,-1.0,3.0,1,2.0,1.1693968414870128e-07
14,11.0,12.0,1,23.0,1.1693968414870128e-07
14,12.0,9.0,1,21.0,1.1693968414870128e-07
14,10.0,8.0,1,18.0,1.1693968414870128e-07
14,5.5,5.5,1,11.0,1.1693968414870128e-07
14,8.0,15.0,1,23.0,1.1693968414870128e-07
14,10.0,7.0,1,17.0,1.1693968414870128e-07
14,2.0,10.0,1,12.0,1.1693968414870128e-07
14,5.0,10.0,1,15.0,1.1693968414870128e-07
14,4.0,1.0,1,5.0,1.1693968414870128e-07
14,6.0,10.0,1,16.0,1.1693968414870128e-07
14,6.0,13.0,1,19.0,1.1693968414870128e-07
14,7.0,0.0,1,7.0,1.1693968414870128e-07
14,7.0,1.0,1,8.0,1.1693968414870128e-07
14,3.0,8.0,1,11.0,1.1693968414870128e-07
14,7.0,12.0,1,19.0,1.1693968414870128e-07
14,9.0,13.0,1,22.0,1.1693968414870128e-07
14,8.0,4.0,1,12.0,1.1693968414870128e-07
14,8.0,5.0,1,13.0,1.1693968414870128e-07
14,0.0,5.0,1,5.0,1.1693968414870128e-07
14,8.0,10.0,1,18.0,1.1693968414870128e-07
14,9.0,7.0,1,16.0,1.1693968414870128e-07
14,-1.0,7.0,1,6.0,1.1693968414870128e-07
14,-1.0,5.0,1,4.0,1.1693968414870128e-07
14,16.0,10.0,1,26.0,1.1693968414870128e-07
16,1.0,1.0,862,2.0,0.00010085855840032103
16,0.0,1.0,210,1.0,2.4571110515159414e-05
16,2.0,2.0,157,4.0,1.836983024228585e-05
16,1.0,2.0,97,3.0,1.13495129522403e-05
16,3.0,3.0,83,6.0,9.711438917896339e-06
16,2.0,3.0,78,5.0,9.12641247705921e-06
16,4.0,4.0,59,8.0,6.90331200187812e-06
16,3.0,4.0,44,7.0,5.1482326793667345e-06
16,4.0,3.0,42,7.0,4.914222103031883e-06
16,4.0,5.0,41,9.0,4.797216814864457e-06
16,1.0,0.0,40,1.0,4.680211526697031e-06
16,2.0,4.0,36,6.0,4.212190374027329e-06
16,5.0,5.0,33,10.0,3.8611745095250505e-06
16,5.0,4.0,32,9.0,3.744169221357625e-06
16,2.0,1.0,31,3.0,3.6271639331901997e-06
16,3.0,2.0,27,5.0,3.1591427805204964e-06
16,3.0,5.0,26,8.0,3.04213749235307e-06
16,4.0,6.0,26,10.0,3.04213749235307e-06
16,1.0,3.0,22,4.0,2.5741163396833673e-06
16,6.0,6.0,20,12.0,2.3401057633485156e-06
16,5.0,6.0,20,11.0,2.3401057633485156e-06
16,6.0,5.0,16,11.0,1.8720846106788125e-06
16,2.0,0.0,15,2.0,1.7550793225113867e-06
16,3.0,6.0,15,9.0,1.7550793225113867e-06
16,6.0,7.0,15,13.0,1.7550793225113867e-06
16,4.0,2.0,14,6.0,1.6380740343439609e-06
16,6.0,8.0,14,14.0,1.6380740343439609e-06
16,3.0,0.0,13,3.0,1.521068746176535e-06
16,2.0,5.0,12,7.0,1.4040634580091095e-06
16,5.0,7.0,11,12.0,1.2870581698416836e-06
16,7.0,6.0,11,13.0,1.2870581698416836e-06
16,8.0,6.0,10,14.0,1.1700528816742578e-06
16,1.0,4.0,10,5.0,1.1700528816742578e-06
16,3.0,1.0,9,4.0,1.0530475935068322e-06
16,7.0,8.0,9,15.0,1.0530475935068322e-06
16,7.0,7.0,9,14.0,1.0530475935068322e-06
16,5.0,3.0,9,8.0,1.0530475935068322e-06
16,7.0,5.0,8,12.0,9.360423053394063e-07
16,6.0,4.0,8,10.0,9.360423053394063e-07
16,5.0,2.0,6,7.0,7.020317290045547e-07
16,5.0,8.0,6,13.0,7.020317290045547e-07
16,5.0,9.0,6,14.0,7.020317290045547e-07
16,4.5,4.5,6,9.0,7.020317290045547e-07
16,6.0,2.0,6,8.0,7.020317290045547e-07
16,8.0,7.0,6,15.0,7.020317290045547e-07
16,0.0,2.0,6,2.0,7.020317290045547e-07
16,2.0,6.0,6,8.0,7.020317290045547e-07
16,1.5,1.5,6,3.0,7.020317290045547e-07
16,9.0,8.0,6,17.0,7.020317290045547e-07
16,3.5,3.5,5,7.0,5.850264408371289e-07
16,6.0,1.0,5,7.0,5.850264408371289e-07
16,-1.0,3.0,5,2.0,5.850264408371289e-07
16,10.0,10.0,5,20.0,5.850264408371289e-07
16,9.0,9.0,5,18.0,5.850264408371289e-07
16,8.0,8.0,5,16.0,5.850264408371289e-07
16,6.0,3.0,5,9.0,5.850264408371289e-07
16,6.0,9.0,5,15.0,5.850264408371289e-07
16,-1.0,2.0,5,1.0,5.850264408371289e-07
16,6.0,12.0,4,18.0,4.6802115266970313e-07
16,8.0,10.0,4,18.0,4.6802115266970313e-07
16,7.0,4.0,4,11.0,4.6802115266970313e-07
16,4.0,7.0,4,11.0,4.6802115266970313e-07
16,8.0,5.0,4,13.0,4.6802115266970313e-07
16,3.0,7.0,4,10.0,4.6802115266970313e-07
16,1.0,5.0,4,6.0,4.6802115266970313e-07
16,7.0,9.0,3,16.0,3.5101586450227736e-07
16,8.0,9.0,3,17.0,3.5101586450227736e-07
16,9.0,6.0,3,15.0,3.5101586450227736e-07
16,10.0,8.0,3,18.0,3.5101586450227736e-07
16,10.0,9.0,3,19.0,3.5101586450227736e-07
